Beacon,RSSI
PicoBeacon2,-54
PicoBeacon1,-56
PicoBeacon2,-54
PicoBeacon2,-66
PicoBeacon1,-44
PicoBeacon2,-68
PicoBeacon2,-61
PicoBeacon1,-57
PicoBeacon1,-53
PicoBeacon2,-67
PicoBeacon1,-57
PicoBeacon2,-52
PicoBeacon2,-53
PicoBeacon1,-42
PicoBeacon1,-55
PicoBeacon2,-48
PicoBeacon1,-55
PicoBeacon2,-51
PicoBeacon1,-39
PicoBeacon2,-63
PicoBeacon1,-55
PicoBeacon2,-66
PicoBeacon1,-56
PicoBeacon1,-40
PicoBeacon2,-66
PicoBeacon1,-39
PicoBeacon2,-47
PicoBeacon1,-55
PicoBeacon2,-47
PicoBeacon2,-68
PicoBeacon2,-46
PicoBeacon2,-70
PicoBeacon2,-56
PicoBeacon2,-67
PicoBeacon1,-43
PicoBeacon2,-51
PicoBeacon1,-41
PicoBeacon2,-54
PicoBeacon2,-46
PicoBeacon1,-59
PicoBeacon2,-61
PicoBeacon1,-57
PicoBeacon2,-47
PicoBeacon1,-41
PicoBeacon2,-54
PicoBeacon1,-46
PicoBeacon2,-65
PicoBeacon2,-68
PicoBeacon2,-53
PicoBeacon1,-54
PicoBeacon2,-68
PicoBeacon1,-40
PicoBeacon2,-68
PicoBeacon1,-45
PicoBeacon1,-55
PicoBeacon2,-48
PicoBeacon1,-40
PicoBeacon2,-52
PicoBeacon2,-56
PicoBeacon1,-55
PicoBeacon2,-52
PicoBeacon1,-59
PicoBeacon2,-64
PicoBeacon2,-64
PicoBeacon1,-40
PicoBeacon2,-49
PicoBeacon1,-55
PicoBeacon2,-50
PicoBeacon1,-55
PicoBeacon2,-62
PicoBeacon1,-62
PicoBeacon2,-62
PicoBeacon1,-55
PicoBeacon2,-78
PicoBeacon2,-53
PicoBeacon1,-55
PicoBeacon2,-60
PicoBeacon1,-41
PicoBeacon2,-69
PicoBeacon1,-47
PicoBeacon2,-55
PicoBeacon2,-51
PicoBeacon2,-64
PicoBeacon2,-64
PicoBeacon1,-40
PicoBeacon1,-41
PicoBeacon2,-50
PicoBeacon2,-64
PicoBeacon1,-38
PicoBeacon2,-59
PicoBeacon1,-56
PicoBeacon2,-52
PicoBeacon1,-58
PicoBeacon2,-64
PicoBeacon2,-66
PicoBeacon1,-41
PicoBeacon2,-73
PicoBeacon2,-45
PicoBeacon2,-61
PicoBeacon1,-41
PicoBeacon2,-52
PicoBeacon1,-55
PicoBeacon2,-47
PicoBeacon1,-41
PicoBeacon2,-61
PicoBeacon1,-59
PicoBeacon2,-61
PicoBeacon2,-75
PicoBeacon1,-42
PicoBeacon2,-62
PicoBeacon1,-41
PicoBeacon2,-56
PicoBeacon1,-56
PicoBeacon2,-62
PicoBeacon1,-44
PicoBeacon2,-54
PicoBeacon1,-41
PicoBeacon1,-59
PicoBeacon2,-58
PicoBeacon1,-45
PicoBeacon2,-61
PicoBeacon1,-55
